17:28:43.134474 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2685
17:28:43.134497 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2686
17:28:43.134519 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2687
17:28:43.134541 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2688
17:28:43.134563 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2689
17:28:43.134585 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2690
17:28:43.134606 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2691
17:28:43.134627 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2692
17:28:43.134649 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2693
17:28:43.134674 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2694
17:28:43.134690 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2695
17:28:43.134702 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2696
17:28:43.134714 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2697
17:28:43.134727 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2698
17:28:43.134739 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2699
17:28:43.134751 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2700
17:28:43.134767 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2701
17:28:43.134790 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2702
17:28:43.137979 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :448   | Can't nack anymore! Hit NACK bitrate limit. Try increasing NACK bitrate?
17:28:43.142394 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :454   | NACKing is possible again.
17:28:43.142471 | INFO    | fractal/network/ringbuffer.c        | try_nacking                   :480   | NACKing for missing Frame ID 2703
