20:51:14:358 | INFO    | win_clipboard.c | lclipboard_directory:62 | Directory: C:\ProgramData\FractalCache
20:51:24:111 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14090240
20:51:24:111 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14086144
20:51:24:118 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14094336
20:51:24:118 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14090240
20:51:24:120 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14094336
20:51:24:120 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14090240
20:51:24:123 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14098432
20:51:24:123 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14094336
20:51:24:127 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14102528
20:51:24:127 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14098432
20:51:24:130 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14106624
20:51:24:130 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14102528
20:51:24:133 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14106624
20:51:24:133 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14102528
20:51:24:136 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14110720
20:51:24:136 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14106624
20:51:24:139 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14110720
20:51:24:139 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14106624
20:51:24:143 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14114816
20:51:24:143 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14110720
20:51:24:145 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14114816
20:51:24:145 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14110720
20:51:24:147 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14118912
20:51:24:147 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14114816
20:51:24:150 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14118912
20:51:24:150 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14114816
20:51:24:152 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14123008
20:51:24:152 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14118912
20:51:24:154 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14123008
20:51:24:154 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14118912
20:51:24:158 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14123008
20:51:24:158 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14118912
20:51:24:161 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14127104
20:51:24:161 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14123008
20:51:24:164 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14127104
20:51:24:164 | INFO    | fractal.c       | PrintMemoryInfo:29 | WorkingSetSize: 14123008
20:51:24:167 | INFO    | fractal.c       | PrintMemoryInfo:28 | PeakWorkingSetSize: 14131200
