22:03:37.931153 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 411
22:03:38.032775 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 411 received: took 0.101151 seconds
22:03:38.432054 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 412
22:03:38.443547 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 412 received: took 0.011312 seconds
22:03:38.634124 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 8916, last_played_id 8916. Needs to catch up!
22:03:38.687803 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 8920, last_played_id 8916
22:03:38.933278 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 413
22:03:38.967633 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 413 received: took 0.034147 seconds
22:03:39.433633 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 414
22:03:39.447456 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 414 received: took 0.013227 seconds
22:03:39.593281 | INFO    | client/network.c                    | send_tcp_ping                 :203   | TCP Ping! 104
22:03:39.593854 | INFO    | fractal/network/tcp.c               | tcp_send_constructed_packet   :182   | Sending a FractalPacket of size 99 over TCP
22:03:39.700253 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 8962, last_played_id 8962. Needs to catch up!
22:03:39.734928 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 8965, last_played_id 8962
22:03:39.747235 | INFO    | client/network.c                    | receive_tcp_pong              :241   | TCP Pong 104 received: took 0.153038 seconds
22:03:39.935228 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 415
22:03:39.947504 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 415 received: took 0.012029 seconds
22:03:40.436396 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 416
22:03:40.451831 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 416 received: took 0.015200 seconds
22:03:40.746439 | INFO    | client/audio.c                      | buffer_audio                  :226   | Audio Queue too low: 16384. max_id 9007, last_played_id 9007. Needs to catch up!
22:03:40.783670 | INFO    | client/audio.c                      | buffer_audio                  :234   | Done catching up! Audio Queue: 32768, max_id 9010, last_played_id 9007
22:03:40.937763 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 417
22:03:40.976038 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 417 received: took 0.038087 seconds
22:03:41.438434 | INFO    | client/network.c                    | send_ping                     :183   | Ping! 418
22:03:41.451495 | INFO    | client/network.c                    | receive_pong                  :221   | Pong 418 received: took 0.012279 seconds
