21:55:51:984 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 28.416000ms total!
21:55:52:026 | INFO    | main.c          | update:212 | Ping! 10
21:55:52:039 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 32.554700ms total!
21:55:52:049 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.023165
21:55:52:087 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 33.236800ms total!
21:55:52:137 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 30.726100ms total!
21:55:52:184 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 27.973000ms total!
21:55:52:237 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 28.883800ms total!
21:55:52:288 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 29.226800ms total!
21:55:52:338 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 29.049200ms total!
21:55:52:387 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 30.134800ms total!
21:55:52:437 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 33.421300ms total!
21:55:52:488 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 30.371200ms total!
21:55:52:521 | INFO    | main.c          | ReceivePackets:300 | world_time: 5.001902
21:55:52:521 | INFO    | main.c          | ReceivePackets:301 | recvfrom_time: 4.620422
21:55:52:521 | INFO    | main.c          | ReceivePackets:302 | update_video_time: 0.005204
21:55:52:521 | INFO    | main.c          | ReceivePackets:303 | update_audio_time: 0.031668
21:55:52:521 | INFO    | main.c          | ReceivePackets:304 | hash_time: 0.000000
21:55:52:521 | INFO    | main.c          | ReceivePackets:305 | video_time: 0.008135
21:55:52:521 | INFO    | main.c          | ReceivePackets:306 | max_video_time: 0.000962
21:55:52:521 | INFO    | main.c          | ReceivePackets:307 | audio_time: 0.000000
21:55:52:521 | INFO    | main.c          | ReceivePackets:308 | max_audio_time: 0.000000
21:55:52:521 | INFO    | main.c          | ReceivePackets:309 | message_time: 0.000171
21:55:52:526 | INFO    | main.c          | update:212 | Ping! 11
21:55:52:537 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 30.946500ms total!
21:55:52:553 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.027212
21:55:52:590 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 31.064100ms total!
21:55:52:638 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 27.407600ms total!
21:55:52:666 | INFO    | video.c         | updateVideo:497 | MBPS: 12710000.000000 0.000000
21:55:52:666 | INFO    | video.c         | updateVideo:529 | MBPS2: 13027750.000000
21:55:52:666 | INFO    | video.c         | updateVideo:535 | MBPS3: 13250000
21:55:52:667 | INFO    | main.c          | update:161 | Asking for server MBPS to be 12.636185
21:55:52:691 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 32.760000ms total!
21:55:52:738 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 27.653200ms total!
21:55:52:788 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 30.218400ms total!
21:55:52:838 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 29.654200ms total!
21:55:52:887 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 29.412500ms total!
21:55:52:937 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 27.307000ms total!
21:55:52:987 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 30.271400ms total!
21:55:53:027 | INFO    | main.c          | update:212 | Ping! 12
21:55:53:037 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 29.739100ms total!
21:55:53:054 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.026800
21:55:53:088 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 31.285300ms total!
21:55:53:190 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 77.025200ms total!
21:55:53:288 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 74.962700ms total!
21:55:53:388 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 76.111900ms total!
21:55:53:471 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 31.510900ms total!
21:55:53:527 | INFO    | main.c          | update:212 | Ping! 13
21:55:53:549 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 54.583000ms total!
21:55:53:549 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.022070
21:55:53:669 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 74.951800ms total!
21:55:53:769 | WARNING | network.c       | ReadUDPPacket:358 | Unexpected Packet Error: 997
21:55:53:772 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 77.993700ms total!
21:55:53:781 | INFO    | video.c         | updateVideo:621 | ************NACKING VIDEO PACKET 68 0 (/28), alive for 0.008847 MS
21:55:53:781 | INFO    | video.c         | nack:126 | Missing Video Packet ID 68 Index 0, NACKing...
21:55:53:805 | INFO    | video.c         | ReceiveVideo:701 | NACK for Video ID 68, Index 0 Received!
21:55:53:807 | INFO    | video.c         | RenderScreen:226 | Late! Rendering ID 68 (Age 0.034969) (Packets 28) 
21:55:53:869 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 29.664600ms total!
21:55:53:972 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 78.290900ms total!
21:55:53:984 | INFO    | video.c         | updateVideo:621 | ************NACKING VIDEO PACKET 71 5 (/28), alive for 0.011949 MS
21:55:53:984 | INFO    | video.c         | nack:126 | Missing Video Packet ID 71 Index 5, NACKing...
21:55:53:988 | INFO    | video.c         | ReceiveVideo:712 | Received the original Video ID 71 Index 5, but we had NACK'ed for it.
21:55:54:013 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 22.296600ms total!
21:55:54:013 | INFO    | video.c         | ReceiveVideo:706 | NACK for Video ID 71, Index 5 Received! But didn't need it.
21:55:54:027 | INFO    | main.c          | update:212 | Ping! 14
21:55:54:049 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 33.577400ms total!
21:55:54:049 | INFO    | main.c          | ReceiveMessage:455 | Latency: 0.022127
21:55:54:169 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 77.326200ms total!
21:55:54:271 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 78.677500ms total!
21:55:54:372 | INFO    | main.c          | ReceivePackets:369 | Took more than 20ms to receive something!! Took 77.491900ms total!
